,Customer_ID,CustomerFirstDatePurchase,Gender,AgeGroup,TotalTrans,Type1Last1,Type1Last2,Type1Last3,Type1Last4,Tenure,Type1Last5_pred
31828,889381AZ,2021-12-01 00:00:00,Male,40-49,0.160427807486631,ActivityE,ActivityE,ActivityE,ActivityA,3.30275229357798,ActivityB
31829,889398AZ,2021-12-01 00:00:00,Male,50-64,0.0267379679144385,ActivityA,ActivityD,ActivityA,ActivityB,3.30275229357798,ActivityB
31830,889418AZ,2021-12-01 00:00:00,Female,30-39,0.18716577540107,ActivityD,ActivityB,ActivityB,ActivityD,3.30275229357798,ActivityB
31831,889425AZ,2021-12-01 00:00:00,Female,30-39,0,ActivityE,ActivityE,ActivityE,ActivityE,3.30275229357798,ActivityA
31832,889451AZ,2021-12-01 00:00:00,Male,30-39,0.240641711229946,ActivityD,ActivityD,ActivityD,ActivityD,3.30275229357798,ActivityD
31833,889461AZ,2021-12-01 00:00:00,Male,40-49,0.213903743315508,ActivityA,ActivityE,ActivityE,ActivityE,3.30275229357798,ActivityF
31834,889467AZ,2021-12-01 00:00:00,Male,30-39,0.133689839572193,ActivityD,ActivityD,ActivityD,ActivityD,3.30275229357798,ActivityD
31835,889475AZ,2021-12-01 00:00:00,Female,30-39,0.775401069518717,ActivityD,ActivityC,ActivityB,ActivityB,3.30275229357798,ActivityB
31836,889479AZ,2021-12-01 00:00:00,Female,30-39,0.106951871657754,ActivityB,ActivityB,ActivityB,ActivityB,3.30275229357798,ActivityB
31837,889480AZ,2021-12-01 00:00:00,Female,40-49,0.294117647058823,ActivityD,ActivityD,ActivityD,ActivityD,3.30275229357798,ActivityD
31838,889512AZ,2021-12-01 00:00:00,Female,50-64,0,ActivityE,ActivityE,ActivityE,ActivityE,3.30275229357798,ActivityF
31839,889523AZ,2021-12-01 00:00:00,Female,19-29,0,ActivityD,ActivityC,ActivityC,ActivityF,3.30275229357798,ActivityD
31840,889529AZ,2021-12-01 00:00:00,Female,30-39,0.053475935828877,ActivityD,ActivityB,ActivityE,ActivityD,3.30275229357798,ActivityB
31841,889538AZ,2021-12-01 00:00:00,Female,40-49,0.133689839572193,ActivityE,ActivityE,ActivityE,ActivityA,3.30275229357798,ActivityB
31842,889546AZ,2021-12-01 00:00:00,Female,19-29,0.18716577540107,ActivityB,ActivityB,ActivityB,ActivityB,3.30275229357798,ActivityB
31843,889554AZ,2021-12-01 00:00:00,Female,50-64,0,ActivityE,ActivityE,ActivityE,ActivityF,3.30275229357798,ActivityB
31844,889565AZ,2021-12-01 00:00:00,Male,30-39,0.53475935828877,ActivityB,ActivityB,ActivityB,ActivityB,3.30275229357798,ActivityB
31845,889571AZ,2021-12-01 00:00:00,Male,19-29,0.160427807486631,ActivityD,ActivityD,ActivityB,ActivityD,3.30275229357798,ActivityD
31846,889601AZ,2021-12-01 00:00:00,Female,40-49,0,ActivityB,ActivityA,ActivityA,ActivityB,3.30275229357798,ActivityB
31847,889602AZ,2021-12-01 00:00:00,Female,30-39,0.0267379679144385,ActivityE,ActivityE,ActivityE,ActivityE,3.30275229357798,ActivityE
31848,889621AZ,2021-12-01 00:00:00,Male,50-64,0.294117647058823,ActivityB,ActivityB,ActivityB,ActivityB,3.30275229357798,ActivityB
31849,889662AZ,2021-12-02 00:00:00,Male,40-49,0,ActivityB,ActivityB,ActivityB,ActivityB,3.28440366972477,ActivityB
31850,889675AZ,2021-12-02 00:00:00,Male,30-39,0.213903743315508,ActivityD,ActivityA,ActivityD,ActivityD,3.28440366972477,ActivityF
31851,889680AZ,2021-12-02 00:00:00,Male,50-64,0,ActivityB,ActivityB,ActivityA,ActivityA,3.28440366972477,ActivityB
31852,889689AZ,2021-12-02 00:00:00,Male,19-29,0.802139037433155,ActivityD,ActivityD,ActivityD,ActivityD,3.28440366972477,ActivityD
31853,889700AZ,2021-12-02 00:00:00,Female,19-29,0.72192513368984,ActivityF,ActivityE,ActivityE,ActivityB,3.28440366972477,ActivityB
31854,889714AZ,2021-12-02 00:00:00,Male,19-29,0.0802139037433155,ActivityF,ActivityE,ActivityE,ActivityE,3.28440366972477,ActivityF
31855,889718AZ,2021-12-02 00:00:00,Male,40-49,0.0802139037433155,ActivityE,ActivityF,ActivityE,ActivityE,3.28440366972477,ActivityA
31856,889719AZ,2021-12-02 00:00:00,Female,50-64,0.160427807486631,ActivityB,ActivityD,ActivityA,ActivityD,3.28440366972477,ActivityD
31857,889729AZ,2021-12-02 00:00:00,Male,40-49,0.18716577540107,ActivityD,ActivityB,ActivityD,ActivityF,3.28440366972477,ActivityB
31858,889730AZ,2021-12-02 00:00:00,Female,19-29,0.294117647058823,ActivityB,ActivityB,ActivityE,ActivityE,3.28440366972477,ActivityF
31859,889733AZ,2021-12-02 00:00:00,Male,30-39,0.0267379679144385,ActivityB,ActivityA,ActivityA,ActivityB,3.28440366972477,ActivityB
31860,889771AZ,2021-12-02 00:00:00,Female,40-49,0.0267379679144385,ActivityD,ActivityD,ActivityD,ActivityD,3.28440366972477,ActivityD
31861,889772AZ,2021-12-02 00:00:00,Female,30-39,0,ActivityE,ActivityE,ActivityE,ActivityE,3.28440366972477,ActivityF
31862,889776AZ,2021-12-02 00:00:00,Female,19-29,0,ActivityB,ActivityB,ActivityB,ActivityD,3.28440366972477,ActivityB
31863,889805AZ,2021-12-02 00:00:00,Male,40-49,0.481283422459893,ActivityF,ActivityB,ActivityE,ActivityB,3.28440366972477,ActivityB
31864,889816AZ,2021-12-02 00:00:00,Male,50-64,0.213903743315508,ActivityB,ActivityF,ActivityA,ActivityC,3.28440366972477,ActivityC
31865,889842AZ,2021-12-02 00:00:00,Male,40-49,0.106951871657754,ActivityA,ActivityA,ActivityA,ActivityD,3.28440366972477,ActivityB
31866,889848AZ,2021-12-02 00:00:00,Female,19-29,0,ActivityE,ActivityE,ActivityE,ActivityE,3.28440366972477,ActivityA
31867,889854AZ,2021-12-02 00:00:00,Female,>64,0.267379679144385,ActivityD,ActivityD,ActivityD,ActivityD,3.28440366972477,ActivityD
31868,889872AZ,2021-12-02 00:00:00,Female,40-49,0.454545454545455,ActivityB,ActivityB,ActivityE,ActivityE,3.28440366972477,ActivityE
31869,889873AZ,2021-12-02 00:00:00,Male,>64,0.133689839572193,ActivityD,ActivityF,ActivityF,ActivityD,3.28440366972477,ActivityF
31870,889874AZ,2021-12-02 00:00:00,Female,30-39,0.0802139037433155,ActivityF,ActivityE,ActivityE,ActivityE,3.28440366972477,ActivityF
31871,889896AZ,2021-12-02 00:00:00,Male,40-49,0.053475935828877,ActivityA,ActivityB,ActivityF,ActivityB,3.28440366972477,ActivityB
31872,889911AZ,2021-12-02 00:00:00,Female,19-29,0.53475935828877,ActivityE,ActivityA,ActivityE,ActivityB,3.28440366972477,ActivityE
31873,889946AZ,2021-12-02 00:00:00,Male,40-49,0,ActivityE,ActivityE,ActivityE,ActivityF,3.28440366972477,ActivityB
31874,889952AZ,2021-12-02 00:00:00,Male,30-39,0.18716577540107,ActivityD,ActivityD,ActivityD,ActivityD,3.28440366972477,ActivityD
31875,889970AZ,2021-12-02 00:00:00,Female,50-64,0.0267379679144385,ActivityA,ActivityD,ActivityA,ActivityD,3.28440366972477,ActivityC
31876,889981AZ,2021-12-02 00:00:00,Female,>64,0.0267379679144385,ActivityD,ActivityD,ActivityB,ActivityD,3.28440366972477,ActivityD
31877,889990AZ,2021-12-02 00:00:00,Male,30-39,0.508021390374332,ActivityE,ActivityE,ActivityE,ActivityE,3.28440366972477,ActivityF
31878,890006AZ,2021-12-02 00:00:00,Female,40-49,0.160427807486631,ActivityE,ActivityA,ActivityB,ActivityB,3.28440366972477,ActivityB
31879,890020AZ,2021-12-02 00:00:00,Female,30-39,0,ActivityC,ActivityE,ActivityC,ActivityF,3.28440366972477,ActivityB
31880,890024AZ,2021-12-02 00:00:00,Female,19-29,0.481283422459893,ActivityD,ActivityD,ActivityD,ActivityF,3.28440366972477,ActivityD
31881,890027AZ,2021-12-02 00:00:00,Female,40-49,0.133689839572193,ActivityA,ActivityE,ActivityE,ActivityB,3.28440366972477,ActivityB
31882,890048AZ,2021-12-02 00:00:00,Male,40-49,0,ActivityE,ActivityE,ActivityA,ActivityE,3.28440366972477,ActivityE
31883,890052AZ,2021-12-02 00:00:00,Male,30-39,0.240641711229946,ActivityE,ActivityE,ActivityE,ActivityE,3.28440366972477,ActivityE
31884,890057AZ,2021-12-02 00:00:00,Female,30-39,0.213903743315508,ActivityD,ActivityB,ActivityB,ActivityD,3.28440366972477,ActivityB
31885,890065AZ,2021-12-02 00:00:00,Male,>64,0.0267379679144385,ActivityD,ActivityD,ActivityF,ActivityB,3.28440366972477,ActivityC
31886,890072AZ,2021-12-02 00:00:00,Male,50-64,0,ActivityB,ActivityB,ActivityB,ActivityB,3.28440366972477,ActivityB
31887,890110AZ,2021-12-02 00:00:00,Female,30-39,0.0267379679144385,ActivityD,ActivityA,ActivityD,ActivityD,3.28440366972477,ActivityD
31888,890126AZ,2021-12-02 00:00:00,Male,19-29,0.133689839572193,ActivityE,ActivityE,ActivityE,ActivityB,3.28440366972477,ActivityB
31889,890158AZ,2021-12-02 00:00:00,Male,30-39,0,ActivityB,ActivityE,ActivityE,ActivityB,3.28440366972477,ActivityB
31890,890198AZ,2021-12-02 00:00:00,Female,50-64,0.133689839572193,ActivityE,ActivityA,ActivityE,ActivityE,3.28440366972477,ActivityA
31891,890208AZ,2021-12-02 00:00:00,Female,50-64,0.0267379679144385,ActivityB,ActivityB,ActivityB,ActivityA,3.28440366972477,ActivityB
31892,890210AZ,2021-12-02 00:00:00,Male,19-29,0,ActivityA,ActivityA,ActivityA,ActivityB,3.28440366972477,ActivityB
31893,890227AZ,2021-12-02 00:00:00,Male,19-29,0.0267379679144385,ActivityE,ActivityE,ActivityA,ActivityD,3.28440366972477,ActivityF
31894,890238AZ,2021-12-02 00:00:00,Female,19-29,0.0267379679144385,ActivityB,ActivityB,ActivityB,ActivityB,3.28440366972477,ActivityB
31895,890257AZ,2021-12-02 00:00:00,Female,>64,0.213903743315508,ActivityD,ActivityD,ActivityD,ActivityD,3.28440366972477,ActivityD
31896,890260AZ,2021-12-02 00:00:00,Female,40-49,0,ActivityB,ActivityB,ActivityA,ActivityA,3.28440366972477,ActivityB
31897,890261AZ,2021-12-02 00:00:00,Female,50-64,0.454545454545455,ActivityA,ActivityD,ActivityD,ActivityD,3.28440366972477,ActivityD
31898,890262AZ,2021-12-02 00:00:00,Female,19-29,0.401069518716578,ActivityE,ActivityE,ActivityE,ActivityE,3.28440366972477,ActivityE
31899,890269AZ,2021-12-02 00:00:00,Female,50-64,0,ActivityB,ActivityA,ActivityF,ActivityB,3.28440366972477,ActivityB
31900,890270AZ,2021-12-02 00:00:00,Female,40-49,0.106951871657754,ActivityD,ActivityB,ActivityD,ActivityD,3.28440366972477,ActivityD
31901,890271AZ,2021-12-02 00:00:00,Female,50-64,0.053475935828877,ActivityE,ActivityA,ActivityC,ActivityD,3.28440366972477,ActivityF
31902,890277AZ,2021-12-02 00:00:00,Male,19-29,0.106951871657754,ActivityD,ActivityC,ActivityF,ActivityC,3.28440366972477,ActivityC
31903,890285AZ,2021-12-02 00:00:00,Female,19-29,0.0267379679144385,ActivityE,ActivityE,ActivityE,ActivityF,3.28440366972477,ActivityB
31904,890290AZ,2021-12-02 00:00:00,Female,40-49,0.160427807486631,ActivityD,ActivityB,ActivityD,ActivityB,3.28440366972477,ActivityB
31905,890294AZ,2021-12-02 00:00:00,Male,30-39,0.454545454545455,ActivityE,ActivityE,ActivityE,ActivityE,3.28440366972477,ActivityE
31906,890295AZ,2021-12-02 00:00:00,Female,30-39,0.481283422459893,ActivityE,ActivityB,ActivityC,ActivityB,3.28440366972477,ActivityB
31907,890298AZ,2021-12-02 00:00:00,Male,30-39,0.18716577540107,ActivityE,ActivityE,ActivityE,ActivityA,3.28440366972477,ActivityB
31908,890301AZ,2021-12-02 00:00:00,Female,30-39,0.133689839572193,ActivityE,ActivityE,ActivityE,ActivityA,3.28440366972477,ActivityB
31909,890304AZ,2021-12-02 00:00:00,Male,40-49,0.18716577540107,ActivityE,ActivityE,ActivityE,ActivityE,3.28440366972477,ActivityF
31910,890308AZ,2021-12-02 00:00:00,Male,19-29,0,ActivityF,ActivityF,ActivityD,ActivityF,3.28440366972477,ActivityD
31911,890314AZ,2021-12-02 00:00:00,Male,19-29,0,ActivityE,ActivityE,ActivityF,ActivityC,3.28440366972477,ActivityC
31912,890318AZ,2021-12-03 00:00:00,Male,19-29,0.160427807486631,ActivityE,ActivityE,ActivityE,ActivityF,3.26605504587156,ActivityF
31913,890322AZ,2021-12-03 00:00:00,Male,19-29,0.0267379679144385,ActivityE,ActivityA,ActivityB,ActivityB,3.26605504587156,ActivityB
31914,890324AZ,2021-12-03 00:00:00,Male,30-39,0.160427807486631,ActivityD,ActivityB,ActivityB,ActivityA,3.26605504587156,ActivityD
31915,890325AZ,2021-12-03 00:00:00,Female,40-49,0.668449197860963,ActivityD,ActivityB,ActivityD,ActivityB,3.26605504587156,ActivityB
31916,890326AZ,2021-12-03 00:00:00,Female,40-49,0.0267379679144385,ActivityE,ActivityE,ActivityF,ActivityB,3.26605504587156,ActivityB
31917,890328AZ,2021-12-03 00:00:00,Female,40-49,0.0802139037433155,ActivityE,ActivityA,ActivityE,ActivityE,3.26605504587156,ActivityA
31918,890348AZ,2021-12-03 00:00:00,Female,30-39,0.053475935828877,ActivityE,ActivityE,ActivityE,ActivityF,3.26605504587156,ActivityB
31919,890376AZ,2021-12-03 00:00:00,Male,19-29,0,ActivityE,ActivityE,ActivityE,ActivityE,3.26605504587156,ActivityF
31920,890385AZ,2021-12-03 00:00:00,Male,30-39,0.053475935828877,ActivityE,ActivityE,ActivityF,ActivityF,3.26605504587156,ActivityC
31921,890392AZ,2021-12-03 00:00:00,Male,40-49,0.053475935828877,ActivityE,ActivityE,ActivityF,ActivityB,3.26605504587156,ActivityB
31922,890404AZ,2021-12-03 00:00:00,Female,50-64,0.294117647058823,ActivityE,ActivityE,ActivityE,ActivityA,3.26605504587156,ActivityF
31923,890418AZ,2021-12-03 00:00:00,Male,30-39,0,ActivityE,ActivityF,ActivityB,ActivityA,3.26605504587156,ActivityD
31924,890427AZ,2021-12-03 00:00:00,Male,30-39,0.053475935828877,ActivityD,ActivityB,ActivityA,ActivityD,3.26605504587156,ActivityB
31925,890438AZ,2021-12-03 00:00:00,Female,19-29,0.267379679144385,ActivityE,ActivityE,ActivityE,ActivityE,3.26605504587156,ActivityF
31926,890442AZ,2021-12-03 00:00:00,Female,50-64,0.0267379679144385,ActivityE,ActivityE,ActivityE,ActivityE,3.26605504587156,ActivityA
31927,890453AZ,2021-12-03 00:00:00,Male,50-64,0.427807486631016,ActivityB,ActivityD,ActivityD,ActivityB,3.26605504587156,ActivityB
31928,890474AZ,2021-12-03 00:00:00,Female,30-39,0.454545454545455,ActivityB,ActivityE,ActivityA,ActivityB,3.26605504587156,ActivityB
31929,890485AZ,2021-12-03 00:00:00,Male,50-64,0.18716577540107,ActivityB,ActivityE,ActivityE,ActivityE,3.26605504587156,ActivityF
31930,890489AZ,2021-12-03 00:00:00,Female,19-29,0.0267379679144385,ActivityE,ActivityE,ActivityA,ActivityC,3.26605504587156,ActivityC
31931,890492AZ,2021-12-03 00:00:00,Female,50-64,0.0267379679144385,ActivityD,ActivityA,ActivityD,ActivityD,3.26605504587156,ActivityD
31932,890495AZ,2021-12-03 00:00:00,Female,30-39,0.320855614973262,ActivityE,ActivityE,ActivityE,ActivityF,3.26605504587156,ActivityF
31933,890496AZ,2021-12-03 00:00:00,Male,40-49,0,ActivityE,ActivityE,ActivityA,ActivityB,3.26605504587156,ActivityB
31934,890509AZ,2021-12-03 00:00:00,Female,19-29,0.267379679144385,ActivityD,ActivityA,ActivityD,ActivityD,3.26605504587156,ActivityD
31935,890522AZ,2021-12-03 00:00:00,Male,50-64,0.0267379679144385,ActivityE,ActivityE,ActivityE,ActivityE,3.26605504587156,ActivityF
31936,890539AZ,2021-12-03 00:00:00,Male,19-29,0,ActivityB,ActivityD,ActivityD,ActivityD,3.26605504587156,ActivityD
31937,890553AZ,2021-12-03 00:00:00,Female,30-39,0.53475935828877,ActivityE,ActivityE,ActivityE,ActivityE,3.26605504587156,ActivityE
31938,890558AZ,2021-12-03 00:00:00,Female,30-39,0,ActivityE,ActivityE,ActivityE,ActivityE,3.26605504587156,ActivityF
31939,890562AZ,2021-12-03 00:00:00,Female,40-49,0,ActivityA,ActivityD,ActivityA,ActivityB,3.26605504587156,ActivityB
31940,890568AZ,2021-12-03 00:00:00,Male,30-39,0.160427807486631,ActivityB,ActivityB,ActivityF,ActivityB,3.26605504587156,ActivityB
31941,890577AZ,2021-12-03 00:00:00,Male,19-29,0.18716577540107,ActivityE,ActivityE,ActivityE,ActivityF,3.26605504587156,ActivityB
31942,890580AZ,2021-12-03 00:00:00,Male,50-64,0.267379679144385,ActivityD,ActivityD,ActivityD,ActivityF,3.26605504587156,ActivityD
31943,890583AZ,2021-12-03 00:00:00,Male,19-29,0.454545454545455,ActivityB,ActivityD,ActivityB,ActivityD,3.26605504587156,ActivityD
31944,890589AZ,2021-12-03 00:00:00,Male,40-49,0.106951871657754,ActivityA,ActivityB,ActivityB,ActivityE,3.26605504587156,ActivityA
31945,890627AZ,2021-12-03 00:00:00,Female,50-64,0,ActivityE,ActivityE,ActivityE,ActivityE,3.26605504587156,ActivityF
31946,890629AZ,2021-12-03 00:00:00,Male,40-49,0.213903743315508,ActivityE,ActivityE,ActivityE,ActivityE,3.26605504587156,ActivityF
31947,890638AZ,2021-12-03 00:00:00,Female,30-39,0.401069518716578,ActivityA,ActivityD,ActivityD,ActivityD,3.26605504587156,ActivityD
31948,890646AZ,2021-12-03 00:00:00,Female,40-49,0.427807486631016,ActivityE,ActivityF,ActivityE,ActivityE,3.26605504587156,ActivityE
31949,890662AZ,2021-12-03 00:00:00,Female,30-39,0.294117647058823,ActivityB,ActivityE,ActivityE,ActivityE,3.26605504587156,ActivityF
31950,890667AZ,2021-12-03 00:00:00,Female,30-39,0.18716577540107,ActivityA,ActivityE,ActivityE,ActivityE,3.26605504587156,ActivityE
31951,890672AZ,2021-12-03 00:00:00,Female,30-39,0.106951871657754,ActivityE,ActivityA,ActivityB,ActivityE,3.26605504587156,ActivityA
31952,890673AZ,2021-12-03 00:00:00,Female,30-39,0.454545454545455,ActivityB,ActivityE,ActivityE,ActivityE,3.26605504587156,ActivityE
31953,890687AZ,2021-12-03 00:00:00,Male,50-64,0.240641711229946,ActivityD,ActivityD,ActivityC,ActivityD,3.26605504587156,ActivityD
31954,890693AZ,2021-12-03 00:00:00,Female,50-64,0.133689839572193,ActivityB,ActivityD,ActivityD,ActivityA,3.26605504587156,ActivityD
31955,890694AZ,2021-12-03 00:00:00,Male,30-39,0.267379679144385,ActivityD,ActivityD,ActivityE,ActivityD,3.26605504587156,ActivityD
31956,890699AZ,2021-12-03 00:00:00,Female,30-39,0.106951871657754,ActivityF,ActivityB,ActivityB,ActivityB,3.26605504587156,ActivityB
31957,890704AZ,2021-12-03 00:00:00,Female,19-29,0.347593582887701,ActivityD,ActivityC,ActivityD,ActivityD,3.26605504587156,ActivityD
31958,890722AZ,2021-12-03 00:00:00,Male,40-49,0.053475935828877,ActivityE,ActivityE,ActivityE,ActivityA,3.26605504587156,ActivityF
31959,890724AZ,2021-12-03 00:00:00,Male,50-64,0.0802139037433155,ActivityE,ActivityE,ActivityE,ActivityE,3.26605504587156,ActivityA
31960,890733AZ,2021-12-03 00:00:00,Female,50-64,0,ActivityF,ActivityB,ActivityB,ActivityB,3.26605504587156,ActivityB
31961,890734AZ,2021-12-03 00:00:00,Male,30-39,0,ActivityE,ActivityE,ActivityF,ActivityC,3.26605504587156,ActivityC
31962,890737AZ,2021-12-03 00:00:00,Female,50-64,0.160427807486631,ActivityA,ActivityD,ActivityA,ActivityD,3.26605504587156,ActivityD
31963,890749AZ,2021-12-03 00:00:00,Female,40-49,0.0267379679144385,ActivityE,ActivityE,ActivityE,ActivityE,3.26605504587156,ActivityF
31964,890775AZ,2021-12-03 00:00:00,Female,50-64,0.106951871657754,ActivityE,ActivityB,ActivityB,ActivityB,3.26605504587156,ActivityB
31965,890778AZ,2021-12-03 00:00:00,Female,30-39,0.427807486631016,ActivityE,ActivityA,ActivityB,ActivityB,3.26605504587156,ActivityB
31966,890814AZ,2021-12-04 00:00:00,Male,19-29,0.294117647058823,ActivityD,ActivityD,ActivityB,ActivityD,3.24770642201835,ActivityD
31967,890821AZ,2021-12-04 00:00:00,Male,19-29,0,ActivityD,ActivityE,ActivityE,ActivityE,3.24770642201835,ActivityF
31968,890822AZ,2021-12-04 00:00:00,Female,50-64,0,ActivityD,ActivityD,ActivityD,ActivityD,3.24770642201835,ActivityD
31969,890847AZ,2021-12-04 00:00:00,Female,40-49,0,ActivityA,ActivityD,ActivityA,ActivityD,3.24770642201835,ActivityD
31970,890875AZ,2021-12-04 00:00:00,Female,40-49,0.320855614973262,ActivityD,ActivityD,ActivityD,ActivityD,3.24770642201835,ActivityD
31971,890883AZ,2021-12-04 00:00:00,Male,19-29,0.18716577540107,ActivityE,ActivityE,ActivityE,ActivityA,3.24770642201835,ActivityB
31972,890897AZ,2021-12-04 00:00:00,Female,50-64,0.0267379679144385,ActivityD,ActivityD,ActivityD,ActivityF,3.24770642201835,ActivityD
31973,890903AZ,2021-12-04 00:00:00,Male,19-29,0.0267379679144385,ActivityD,ActivityB,ActivityA,ActivityD,3.24770642201835,ActivityD
31974,890904AZ,2021-12-04 00:00:00,Female,50-64,0.133689839572193,ActivityE,ActivityE,ActivityE,ActivityE,3.24770642201835,ActivityA
31975,890908AZ,2021-12-04 00:00:00,Male,50-64,0.053475935828877,ActivityD,ActivityA,ActivityD,ActivityC,3.24770642201835,ActivityC
31976,890913AZ,2021-12-04 00:00:00,Male,30-39,0.0267379679144385,ActivityC,ActivityB,ActivityB,ActivityB,3.24770642201835,ActivityB
31977,890922AZ,2021-12-04 00:00:00,Male,40-49,0.320855614973262,ActivityF,ActivityB,ActivityD,ActivityD,3.24770642201835,ActivityD
31978,890925AZ,2021-12-04 00:00:00,Male,50-64,0.320855614973262,ActivityB,ActivityB,ActivityB,ActivityD,3.24770642201835,ActivityB
31979,890930AZ,2021-12-04 00:00:00,Female,19-29,0.0267379679144385,ActivityE,ActivityE,ActivityE,ActivityA,3.24770642201835,ActivityB
31980,890931AZ,2021-12-04 00:00:00,Female,50-64,0.909090909090909,ActivityD,ActivityB,ActivityB,ActivityD,3.24770642201835,ActivityD
31981,890946AZ,2021-12-04 00:00:00,Female,30-39,0.160427807486631,ActivityD,ActivityD,ActivityD,ActivityD,3.24770642201835,ActivityD
31982,890967AZ,2021-12-04 00:00:00,Male,40-49,0.133689839572193,ActivityD,ActivityD,ActivityD,ActivityD,3.24770642201835,ActivityD
31983,890971AZ,2021-12-04 00:00:00,Female,50-64,0.053475935828877,ActivityD,ActivityA,ActivityD,ActivityE,3.24770642201835,ActivityA
31984,890984AZ,2021-12-04 00:00:00,Female,19-29,0.053475935828877,ActivityE,ActivityE,ActivityE,ActivityF,3.24770642201835,ActivityF
31985,890988AZ,2021-12-04 00:00:00,Female,30-39,0.133689839572193,ActivityE,ActivityE,ActivityE,ActivityE,3.24770642201835,ActivityA
31986,891002AZ,2021-12-04 00:00:00,Male,40-49,0,ActivityA,ActivityD,ActivityF,ActivityD,3.24770642201835,ActivityD
31987,891003AZ,2021-12-04 00:00:00,Female,30-39,0.374331550802139,ActivityD,ActivityA,ActivityD,ActivityD,3.24770642201835,ActivityD
31988,891006AZ,2021-12-04 00:00:00,Female,19-29,0,ActivityB,ActivityB,ActivityE,ActivityA,3.24770642201835,ActivityB
31989,891033AZ,2021-12-04 00:00:00,Male,40-49,0.294117647058823,ActivityC,ActivityD,ActivityD,ActivityD,3.24770642201835,ActivityD
31990,891068AZ,2021-12-04 00:00:00,Female,50-64,0.374331550802139,ActivityC,ActivityB,ActivityD,ActivityF,3.24770642201835,ActivityD
31991,891075AZ,2021-12-04 00:00:00,Female,19-29,0.320855614973262,ActivityB,ActivityB,ActivityB,ActivityB,3.24770642201835,ActivityB
31992,891077AZ,2021-12-04 00:00:00,Male,19-29,0,ActivityE,ActivityE,ActivityE,ActivityE,3.24770642201835,ActivityF
31993,891083AZ,2021-12-04 00:00:00,Female,40-49,0.0802139037433155,ActivityB,ActivityA,ActivityD,ActivityD,3.24770642201835,ActivityD
31994,891091AZ,2021-12-04 00:00:00,Female,30-39,0.347593582887701,ActivityE,ActivityE,ActivityA,ActivityA,3.24770642201835,ActivityB
31995,891099AZ,2021-12-04 00:00:00,Male,40-49,0.347593582887701,ActivityB,ActivityB,ActivityE,ActivityA,3.24770642201835,ActivityB
31996,891100AZ,2021-12-04 00:00:00,Female,40-49,0.454545454545455,ActivityE,ActivityB,ActivityE,ActivityB,3.24770642201835,ActivityB
31997,891109AZ,2021-12-04 00:00:00,Male,40-49,0.053475935828877,ActivityE,ActivityE,ActivityA,ActivityE,3.24770642201835,ActivityA
31998,891120AZ,2021-12-04 00:00:00,Female,19-29,0.160427807486631,ActivityE,ActivityE,ActivityA,ActivityC,3.24770642201835,ActivityC
31999,891133AZ,2021-12-04 00:00:00,Female,40-49,0.0267379679144385,ActivityD,ActivityF,ActivityD,ActivityD,3.24770642201835,ActivityF
